,CPI_YoY,Zscore,Inflation_Regime
1913-01-31,,,0
1913-02-28,,,0
1913-03-31,,,0
1913-04-30,,,0
1913-05-31,,,0
1913-06-30,,,0
1913-07-31,,,0
1913-08-31,,,0
1913-09-30,,,0
1913-10-31,,,0
1913-11-30,,,0
1913-12-31,,,0
1914-01-31,2.0408163265306145,,0
1914-02-28,1.0204081632652962,,0
1914-03-31,1.0204081632652962,,0
1914-04-30,0.0,,0
1914-05-31,2.061855670103108,,0
1914-06-30,1.0204081632652962,,0
1914-07-31,1.0101010101010166,,0
1914-08-31,3.030303030303028,,0
1914-09-30,2.0000000000000018,,0
1914-10-31,1.0000000000000009,,0
1914-11-30,0.990099009900991,,0
1914-12-31,1.0000000000000009,,0
1915-01-31,1.0000000000000009,,0
1915-02-28,1.0101010101010166,,0
1915-03-31,0.0,,0
1915-04-30,2.0408163265306145,,0
1915-05-31,2.020202020202011,,0
1915-06-30,2.020202020202011,,0
1915-07-31,1.0000000000000009,,0
1915-08-31,-0.9803921568627416,,0
1915-09-30,-0.9803921568627416,,0
1915-10-31,0.990099009900991,,0
1915-11-30,0.9803921568627638,,0
1915-12-31,1.980198019801982,,0
1916-01-31,2.970297029702973,,0
1916-02-29,4.000000000000004,,0
1916-03-31,6.060606060606055,,0
1916-04-30,6.000000000000005,,0
1916-05-31,5.940594059405946,,0
1916-06-30,6.930693069306937,,0
1916-07-31,6.930693069306937,,0
1916-08-31,7.920792079207928,,0
1916-09-30,9.90099009900991,,0
1916-10-31,10.784313725490202,,0
1916-11-30,11.6504854368932,,0
1916-12-31,12.621359223300963,,0
1917-01-31,12.5,,0
1917-02-28,15.384615384615374,,0
1917-03-31,14.28571428571428,,0
1917-04-30,18.867924528301884,,0
1917-05-31,19.62616822429908,,0
1917-06-30,20.37037037037037,,0
1917-07-31,18.518518518518512,,0
1917-08-31,19.266055045871557,,0
1917-09-30,19.81981981981984,,0
1917-10-31,19.469026548672552,,0
1917-11-30,17.391304347826097,,0
1917-12-31,18.10344827586208,,0
1918-01-31,19.658119658119656,,0
1918-02-28,17.500000000000004,,0
1918-03-31,16.666666666666675,,0
1918-04-30,12.698412698412698,,0
1918-05-31,13.28125,,0
1918-06-30,13.076923076923077,,0
1918-07-31,17.96875,,0
1918-08-31,18.461538461538463,,0
1918-09-30,18.045112781954884,,0
1918-10-31,18.518518518518512,,0
1918-11-30,20.740740740740748,,0
1918-12-31,20.43795620437956,1.4799343179310942,1
1919-01-31,17.85714285714286,1.1080104850173753,1
1919-02-28,14.893617021276585,0.7002617686361878,0
1919-03-31,17.142857142857125,0.9592546970961112,0
1919-04-30,17.6056338028169,0.9867379666197671,0
1919-05-31,16.551724137931025,0.8205187598764144,0
1919-06-30,14.965986394557817,0.5879734012216096,0
1919-07-31,15.231788079470189,0.5981927867231479,0
1919-08-31,14.935064935064934,0.5355773445026663,0
1919-09-30,13.375796178343968,0.303521988566359,0
1919-10-31,13.125000000000009,0.24573064176421466,0
1919-11-30,13.496932515337411,0.27311607521112435,0
1919-12-31,14.545454545454527,0.3962836364342535,0
1920-01-31,16.96969696969697,0.7180978432997758,0
1920-02-29,20.37037037037037,1.1802480654120546,1
1920-03-31,20.12195121951219,1.114826329420613,1
1920-04-30,21.55688622754493,1.2921720524247604,1
1920-05-31,21.89349112426038,1.3056353658779312,1
1920-06-30,23.66863905325445,1.5314980586948983,1
1920-07-31,19.54022988505748,0.8716762042157639,0
1920-08-31,14.689265536723164,0.06524323384924856,0
1920-09-30,12.35955056179774,-0.38175510451777567,0
1920-10-31,9.944751381215443,-0.8733944943877806,0
1920-11-30,7.027027027027022,-1.488324309989293,0
1920-12-31,2.645502645502651,-2.34483099380961,0
1921-01-31,-1.5544041450777255,-3.0226305620961034,0
1921-02-28,-5.641025641025643,-3.462560031347489,0
1921-03-31,-7.106598984771562,-3.360975432101277,0
1921-04-30,-10.83743842364532,-3.513978030013496,0
1921-05-31,-14.077669902912628,-3.5201713516989344,0
1921-06-30,-15.78947368421051,-3.337369032490667,0
1921-07-31,-14.903846153846157,-2.957339707985332,0
1921-08-31,-12.80788177339902,-2.5490273624182125,0
1921-09-30,-12.5,-2.3601644669103083,0
1921-10-31,-12.060301507537686,-2.1862752293291927,0
1921-11-30,-12.121212121212132,-2.0741845087946205,0
1921-12-31,-10.824742268041232,-1.8672572918281132,0
1922-01-31,-11.05263157894738,-1.8009050554346386,0
1922-02-28,-8.15217391304348,-1.5001946489640112,0
1922-03-31,-8.743169398907114,-1.4891170946577736,0
1922-04-30,-7.734806629834267,-1.357255714382253,0
1922-05-31,-5.649717514124298,-1.152579996574609,0
1922-06-30,-5.113636363636376,-1.073799225845247,0
1922-07-31,-5.0847457627118615,-1.0364680527536356,0
1922-08-31,-6.214689265536711,-1.087125347623854,0
1922-09-30,-5.142857142857138,-0.9711208396178641,0
1922-10-31,-4.571428571428571,-0.8963661209953393,0
1922-11-30,-3.44827586206895,-0.7826137784853933,0
1922-12-31,-2.3121387283237094,-0.6700946688025148,0
1923-01-31,-0.5917159763313529,-0.5136498262139815,0
1923-02-28,-0.5917159763313529,-0.49248011146587284,0
1923-03-31,0.5988023952095967,-0.37965128026255596,0
1923-04-30,1.197604790419149,-0.31772267913637964,0
1923-05-31,1.197604790419149,-0.3025836217533099,0
1923-06-30,1.7964071856287456,-0.24074433128200814,0
1923-07-31,2.3809523809523725,-0.17500913451445382,0
1923-08-31,3.0120481927710774,-0.10458406635087934,0
1923-09-30,3.61445783132528,-0.03636449876832846,0
1923-10-31,3.592814371257491,-0.01789416380881671,0
1923-11-30,2.9761904761904656,-0.04538521483612419,0
1923-12-31,2.366863905325456,-0.07281032510629876,0
1924-01-31,2.9761904761904656,0.0012146837384284508,0
1924-02-29,2.3809523809523725,-0.03294628251979659,0
1924-03-31,1.7857142857142794,-0.06382276635131445,0
1924-04-30,0.591715976331364,-0.1477469248935514,0
1924-05-31,0.591715976331364,-0.1253636939155697,0
1924-06-30,0.0,-0.1589566044098224,0
1924-07-31,-0.5813953488371992,-0.1912992571154634,0
1924-08-31,-0.5847953216374324,-0.16945575548715494,0
1924-09-30,-0.5813953488371992,-0.14849483267102634,0
1924-10-31,-0.5780346820809301,-0.12747120461454992,0
1924-11-30,-0.5780346820809301,-0.1058023064466217,0
1924-12-31,0.0,-0.024252033750740816,0
1925-01-31,0.0,0.004613068265246011,0
1925-02-28,0.0,0.04167686364989661,0
1925-03-31,1.1695906432748426,0.21220117809579558,0
1925-04-30,1.17647058823529,0.2664780772779651,0
1925-05-31,1.764705882352935,0.40448304074454916,0
1925-06-30,2.941176470588225,0.6604895248253122,0
1925-07-31,3.50877192982455,0.842700652558902,0
1925-08-31,4.117647058823515,1.013312248104404,1
1925-09-30,3.50877192982455,0.9785465723654755,0
1925-10-31,2.906976744186052,0.92493762873407,0
1925-11-30,4.651162790697683,1.2467394370646023,1
1925-12-31,3.4682080924855363,1.034735599620528,1
1926-01-31,3.4682080924855363,1.0112946506333975,1
1926-02-28,4.06976744186045,1.0794670619386209,1
1926-03-31,2.8901734104046284,0.8479402157707254,0
1926-04-30,4.06976744186045,1.01923670408458,1
1926-05-31,2.8901734104046284,0.7926621782411438,0
1926-06-30,1.1428571428571344,0.4529738728939481,0
1926-07-31,-1.1299435028248594,-0.026601444770533538,0
1926-08-31,-1.6949152542372947,-0.18870553763138526,0
1926-09-30,-1.1299435028248594,-0.11463752033485661,0
1926-10-31,-0.5649717514124131,-0.03187280243859089,0
1926-11-30,-1.6666666666666718,-0.365118118447176,0
1926-12-31,-1.1173184357541888,-0.28341101974485744,0
1927-01-31,-2.234636871508377,-0.6892858581583773,0
1927-02-28,-2.793296089385477,-0.9285323652812425,0
1927-03-31,-2.80898876404494,-1.0286564738851451,0
1927-04-30,-3.351955307262555,-1.3023957825555055,0
1927-05-31,-2.247191011235972,-0.9602969524404604,0
1927-06-30,-0.5649717514124131,-0.383627975132631,0
1927-07-31,-1.1428571428571344,-0.6513310774698793,0
1927-08-31,-1.1494252873563204,-0.7296281224333119,0
1927-09-30,-1.1428571428571344,-0.7910176717153509,0
1927-10-31,-1.1363636363636576,-0.8476068097347156,0
1927-11-30,-2.259887005649708,-1.391339121667007,0
1927-12-31,-2.259887005649708,-1.392547015675521,0
1928-01-31,-1.1428571428571344,-0.8667374771420476,0
1928-02-29,-1.724137931034464,-1.1184762740000986,0
1928-03-31,-1.1560693641618491,-0.8389659644364837,0
1928-04-30,-1.1560693641618491,-0.816712444120773,0
1928-05-31,-1.1494252873563204,-0.7920483249174143,0
1928-06-30,-2.840909090909094,-1.4957338780654985,0
1928-07-31,-1.1560693641618491,-0.7219982024540839,0
1928-08-31,-0.5813953488371992,-0.4438714745945441,0
1928-09-30,0.0,-0.15852361666063033,0
1928-10-31,-1.1494252873563204,-0.6581881350390016,0
1928-11-30,-0.5780346820809301,-0.3699260515177586,0
1928-12-31,-1.1560693641618491,-0.6176975173766509,0
1929-01-31,-1.1560693641618491,-0.592545655620477,0
1929-02-28,0.0,-0.01990951821150171,0
1929-03-31,-0.5847953216374324,-0.2854762222980239,0
1929-04-30,-1.1695906432748648,-0.5547945429751576,0
1929-05-31,-1.1627906976744096,-0.5363679378014048,0
1929-06-30,0.0,0.027639654538872214,0
1929-07-31,1.1695906432748426,0.5794306186636632,0
1929-08-31,1.1695906432748426,0.5640822086795213,0
1929-09-30,0.0,-0.005377826882002749,0
1929-10-31,0.5813953488372103,0.26624657429753074,0
1929-11-30,0.5813953488372103,0.25695352830742607,0
1929-12-31,0.5847953216374213,0.2537462868029088,0
1930-01-31,0.0,-0.02875440079514149,0
1930-02-28,-0.5847953216374324,-0.3063009635129221,0
1930-03-31,-0.5882352941176561,-0.2943426196630902,0
1930-04-30,0.591715976331364,0.28149947606644504,0
1930-05-31,-0.5882352941176561,-0.2727427953843149,0
1930-06-30,-1.7543859649122862,-0.8130423591489565,0
1930-07-31,-4.046242774566466,-1.8760568796746546,0
1930-08-31,-4.624277456647407,-2.0926604996445404,0
1930-09-30,-4.046242774566466,-1.7551556770182262,0
1930-10-31,-4.624277456647407,-1.9615420839912732,0
1930-11-30,-5.202312138728338,-2.203821443512754,0
1930-12-31,-6.395348837209292,-2.653722461894893,0
1931-01-31,-7.017543859649134,-2.7873784120727865,0
1931-02-28,-7.647058823529418,-2.9213362401890093,0
1931-03-31,-7.692307692307687,-2.7584913056426723,0
1931-04-30,-8.823529411764708,-3.0667990003954695,0
1931-05-31,-9.467455621301768,-3.0841619540024086,0
1931-06-30,-10.119047619047628,-3.042857132587864,0
1931-07-31,-9.036144578313266,-2.447266759071715,0
1931-08-31,-8.484848484848484,-2.1211933615248433,0
1931-09-30,-9.63855421686748,-2.354200791281549,0
1931-10-31,-9.696969696969692,-2.22936955539303,0
1931-11-30,-10.365853658536585,-2.2866057940797644,0
1931-12-31,-9.316770186335413,-1.8733033955188068,0
1932-01-31,-10.062893081761004,-1.9838233405625891,0
1932-02-29,-10.191082802547768,-1.9211262144324948,0
1932-03-31,-10.256410256410254,-1.848236285173818,0
1932-04-30,-10.322580645161285,-1.7838955009584436,0
1932-05-31,-10.457516339869288,-1.7377673732987122,0
1932-06-30,-9.93377483443708,-1.5415582901321667,0
1932-07-31,-9.93377483443708,-1.4816850925857397,0
1932-08-31,-10.596026490066224,-1.5762415536523433,0
1932-09-30,-10.666666666666668,-1.529739714304338,0
1932-10-31,-10.738255033557042,-1.4864961164977561,0
1932-11-30,-10.20408163265306,-1.3142311616022808,0
1932-12-31,-10.273972602739722,-1.283889736961378,0
1933-01-31,-9.790209790209792,-1.1348834133226264,0
1933-02-28,-9.9290780141844,-1.1273931338036083,0
1933-03-31,-9.999999999999998,-1.1052019582315649,0
1933-04-30,-9.35251798561152,-0.9296120822546499,0
1933-05-31,-8.029197080291972,-0.6119271359370192,0
1933-06-30,-6.617647058823528,-0.2831550176022036,0
1933-07-31,-3.676470588235292,0.3868117746658706,0
1933-08-31,-2.222222222222225,0.7245532076254523,0
1933-09-30,-1.49253731343284,0.9009351707911413,0
1933-10-31,-0.7518796992481258,1.0665171165179552,1
1933-11-30,0.0,1.2321693260791753,1
1933-12-31,0.7633587786259444,1.3860634184060308,1
1934-01-31,2.325581395348819,1.694572620706462,1
1934-02-28,4.724409448818912,2.1440920803648726,1
1934-03-31,5.555555555555558,2.2200640440193875,1
1934-04-30,5.555555555555558,2.122370164823405,1
1934-05-31,5.555555555555558,2.034301215539311,1
1934-06-30,5.51181102362206,1.9561558637676926,1
1934-07-31,2.290076335877877,1.3380708115799251,1
1934-08-31,1.5151515151515138,1.1897251142581586,1
1934-09-30,3.030303030303028,1.4483734879370975,1
1934-10-31,2.2727272727272707,1.2945495892979322,1
1934-11-30,2.2727272727272707,1.2816652704834455,1
1934-12-31,1.5151515151515138,1.1363384506890428,1
1935-01-31,3.030303030303028,1.3895846978120667,1
1935-02-28,3.007518796992481,1.358912295724371,1
1935-03-31,3.007518796992481,1.333267062367273,1
1935-04-30,3.759398496240607,1.4409049221802392,1
1935-05-31,3.759398496240607,1.409193183205506,1
1935-06-30,2.238805970149249,1.1246899123308571,1
1935-07-31,2.238805970149249,1.0952867423871764,1
1935-08-31,2.238805970149249,1.0653821257082505,1
1935-09-30,0.7352941176470562,0.7955454776921237,0
1935-10-31,1.4814814814814836,0.8968017681746269,0
1935-11-30,2.2222222222222365,0.9908716507948712,0
1935-12-31,2.9850746268656803,1.0811420519409758,1
1936-01-31,1.4705882352941346,0.8089644353915414,0
1936-02-29,0.7299270072992803,0.6660867060773229,0
1936-03-31,0.0,0.5277316979483225,0
1936-04-30,-0.7246376811594346,0.3901704211203126,0
1936-05-31,-0.7246376811594346,0.36935925040048967,0
1936-06-30,0.7299270072992803,0.5848482016668026,0
1936-07-31,1.4598540145985384,0.68093292829038,0
1936-08-31,2.189781021897818,0.7758183633832298,0
1936-09-30,2.189781021897818,0.7486313581096254,0
1936-10-31,2.189781021897818,0.7218782345127955,0
1936-11-30,1.4492753623188248,0.5701610177076977,0
1936-12-31,1.4492753623188248,0.5456239952633838,0
1937-01-31,2.1739130434782483,0.6470026788357951,0
1937-02-28,2.1739130434782483,0.62135607184271,0
1937-03-31,3.649635036496357,0.8618820752970336,0
1937-04-30,4.379562043795637,0.9687105526612717,0
1937-05-31,5.109489051094895,1.0778273339220599,1
1937-06-30,4.347826086956519,0.905707301592491,0
1937-07-31,4.316546762589923,0.8748373126204037,0
1937-08-31,3.571428571428581,0.7025655290061481,0
1937-09-30,4.285714285714293,0.8323079347200003,0
1937-10-31,4.285714285714293,0.8160375800791008,0
1937-11-30,3.571428571428581,0.6337472177507013,0
1937-12-31,2.857142857142869,0.43739751327563153,0
1938-01-31,0.7092198581560183,-0.1687344947505489,0
1938-02-28,0.0,-0.4471907392023753,0
1938-03-31,-0.7042253521126751,-0.7870654048998574,0
1938-04-30,-0.6993006993007089,-0.9454620250160222,0
1938-05-31,-2.083333333333337,-1.6884333752028686,0
1938-06-30,-2.083333333333337,-1.8936843734816446,0
1938-07-31,-2.758620689655178,-2.257232638217107,0
1938-08-31,-2.758620689655178,-2.232486841132752,0
1938-09-30,-3.424657534246578,-2.4540065559985664,0
1938-10-31,-4.109589041095885,-2.6101908418272206,0
1938-11-30,-3.4482758620689613,-2.2108997652354714,0
1938-12-31,-2.777777777777779,-1.8509578764996908,0
1939-01-31,-1.4084507042253502,-1.2508574514305482,0
1939-02-28,-1.4184397163120477,-1.2137514082353247,0
1939-03-31,-1.4184397163120477,-1.1789545052086496,0
1939-04-30,-2.8169014084506894,-1.6887929004485138,0
1939-05-31,-2.127659574468077,-1.3698582297226778,0
1939-06-30,-2.127659574468077,-1.3334463939884036,0
1939-07-31,-2.127659574468077,-1.2869410744710834,0
1939-08-31,-2.127659574468077,-1.245536581668632,0
1939-09-30,0.0,-0.3668660737538849,0
1939-10-31,0.0,-0.35204322623246226,0
1939-11-30,0.0,-0.3372552724115278,0
1939-12-31,0.0,-0.3268815443412751,0
1940-01-31,-0.7142857142857117,-0.5949834966955821,0
1940-02-29,0.7194244604316502,0.0073777846860483,0
1940-03-31,0.7194244604316502,0.02328240214466476,0
1940-04-30,1.4492753623188248,0.3471943310086542,0
1940-05-31,1.4492753623188248,0.3685617076998374,0
1940-06-30,2.1739130434782483,0.6787570828160601,0
1940-07-31,1.4492753623188248,0.3759298884149894,0
1940-08-31,1.4492753623188248,0.3827745091961528,0
1940-09-30,-0.7092198581560294,-0.5336242480990393,0
1940-10-31,0.0,-0.21906221325959171,0
1940-11-30,0.0,-0.2040399443531901,0
1940-12-31,0.7142857142857117,0.12150095842655438,0
1941-01-31,1.4388489208633004,0.4373780293663715,0
1941-02-28,0.7142857142857117,0.12185936558164356,0
1941-03-31,1.4285714285714235,0.42212955148762693,0
1941-04-30,2.142857142857157,0.7106333978261935,0
1941-05-31,2.857142857142869,0.9888638695244003,0
1941-06-30,4.255319148936176,1.5348476000153595,1
1941-07-31,5.000000000000004,1.776308242720725,1
1941-08-31,6.428571428571428,2.239356883931608,1
1941-09-30,7.857142857142851,2.6061442941037316,1
1941-10-31,9.285714285714295,2.871338290796355,1
1941-11-30,10.000000000000009,2.8469595358905107,1
1941-12-31,9.92907801418439,2.610896231392921,1
1942-01-31,11.347517730496447,2.7861670404952075,1
1942-02-28,12.056737588652489,2.74270448920617,1
1942-03-31,12.676056338028175,2.6878547343885377,1
1942-04-30,12.587412587412585,2.496335287111374,1
1942-05-31,13.194444444444445,2.4768158378126883,1
1942-06-30,10.88435374149661,1.8859976571930521,1
1942-07-31,11.564625850340128,1.9435024429612497,1
1942-08-31,10.738255033557053,1.7036909838604377,1
1942-09-30,9.27152317880795,1.3685344453621502,1
1942-10-31,9.15032679738561,1.309894825339284,1
1942-11-30,9.090909090909085,1.2628220289268919,1
1942-12-31,9.03225806451613,1.215651339259056,1
1943-01-31,7.643312101910826,0.9212325041676855,0
1943-02-28,6.962025316455689,0.7671260073032601,0
1943-03-31,7.499999999999996,0.8417800988044706,0
1943-04-30,8.074534161490664,0.9204128362942668,0
1943-05-31,7.361963190184051,0.7585387337355848,0
1943-06-30,7.361963190184051,0.7320579933571918,0
1943-07-31,6.0975609756097615,0.46741201959729156,0
1943-08-31,4.8484848484848575,0.20453839122147147,0
1943-09-30,5.454545454545445,0.2990780693531483,0
1943-10-31,4.191616766467066,0.020907103790552842,0
1943-11-30,3.5714285714285587,-0.13171102246161243,0
1943-12-31,2.9585798816567976,-0.2837937207188642,0
1944-01-31,2.9585798816567976,-0.3027628313828973,0
1944-02-29,2.9585798816567976,-0.322372265672699,0
1944-03-31,1.162790697674421,-0.727484434505348,0
1944-04-30,0.5747126436781658,-0.8821962900207019,0
1944-05-31,0.0,-1.0280636654913498,0
1944-06-30,0.5714285714285783,-0.9214434260374077,0
1944-07-31,1.7241379310344973,-0.6854601146808997,0
1944-08-31,2.3121387283236983,-0.5775746175377459,0
1944-09-30,1.7241379310344973,-0.7274074702504828,0
1944-10-31,1.7241379310344973,-0.7390166523905376,0
1944-11-30,1.7241379310344973,-0.7508474997387247,0
1944-12-31,2.298850574712663,-0.6273311680851482,0
1945-01-31,2.298850574712663,-0.6475321031355677,0
1945-02-28,2.298850574712663,-0.6576402037347877,0
1945-03-31,2.298850574712663,-0.6679119304510857,0
1945-04-30,1.7142857142857126,-0.814709964447504,0
1945-05-31,2.2857142857142687,-0.6782180827611838,0
1945-06-30,2.840909090909083,-0.543778888198618,0
1945-07-31,2.259887005649719,-0.6938736341227361,0
1945-08-31,2.259887005649719,-0.699166854440957,0
1945-09-30,2.259887005649719,-0.7214435505575124,0
1945-10-31,2.259887005649719,-0.7383350088453525,0
1945-11-30,2.259887005649719,-0.7557187645225393,0
1945-12-31,2.2471910112359383,-0.7706431045916771,0
1946-01-31,2.2471910112359383,-0.7766017000797791,0
1946-02-28,1.6853932584269593,-0.9321839827992852,0
1946-03-31,2.80898876404494,-0.6459558764199794,0
1946-04-30,3.3707865168539186,-0.504680528527538,0
1946-05-31,3.3519553072625774,-0.512523587237886,0
1946-06-30,3.3149171270718147,-0.5173346069347637,0
1946-07-31,9.392265193370154,1.0647404043860023,1
1946-08-31,11.602209944751362,1.5880124204400925,1
1946-09-30,12.707182320441968,1.8046616456770261,1
1946-10-31,14.9171270718232,2.248348511451417,1
1946-11-30,17.67955801104972,2.7203853687157604,1
1946-12-31,18.13186813186813,2.640024661543035,1
1947-01-31,18.13186813186813,2.500876172943783,1
1947-02-28,18.78453038674033,2.501203736176786,1
1947-03-31,19.67213114754096,2.5385382006631962,1
1947-04-30,19.02173913043479,2.3117266461301007,1
1947-05-31,18.37837837837837,2.1215922629523427,1
1947-06-30,17.647058823529417,1.9189550452830515,1
1947-07-31,12.12121212121211,0.96360139806534,0
1947-08-31,11.386138613861396,0.8340210769427193,0
1947-09-30,12.745098039215684,1.0495004342040595,1
1947-10-31,10.576923076923084,0.6741935410999701,0
1947-11-30,8.450704225352123,0.31449661130384104,0
1947-12-31,8.837209302325565,0.38093458328978996,0
1948-01-31,10.232558139534875,0.609392886881846,0
1948-02-29,9.302325581395344,0.44408987952142104,0
1948-03-31,6.849315068493156,0.03015771205896578,0
1948-04-30,8.675799086757996,0.337921111712788,0
1948-05-31,9.1324200913242,0.40974334871122203,0
1948-06-30,9.545454545454549,0.47261309912590727,0
1948-07-31,9.909909909909898,0.5222613736757923,0
1948-08-31,8.888888888888879,0.33883054686235853,0
1948-09-30,6.521739130434789,-0.06309863703642475,0
1948-10-31,6.0869565217391175,-0.14195599112632612,0
1948-11-30,4.761904761904745,-0.36965445607448755,0
1948-12-31,2.991452991453003,-0.669238967030649,0
1949-01-31,1.265822784810133,-0.9525908969590066,0
1949-02-28,1.276595744680864,-0.9424081714601737,0
