,CPI_YoY
1913-01-31,
1913-02-28,
1913-03-31,
1913-04-30,
1913-05-31,
1913-06-30,
1913-07-31,
1913-08-31,
1913-09-30,
1913-10-31,
1913-11-30,
1913-12-31,
1914-01-31,2.0408163265306145
1914-02-28,1.0204081632652962
1914-03-31,1.0204081632652962
1914-04-30,0.0
1914-05-31,2.0618556701031077
1914-06-30,1.0204081632652962
1914-07-31,1.0101010101010166
1914-08-31,3.0303030303030276
1914-09-30,2.0000000000000018
1914-10-31,1.0000000000000009
1914-11-30,0.990099009900991
1914-12-31,1.0000000000000009
1915-01-31,1.0000000000000009
1915-02-28,1.0101010101010166
1915-03-31,0.0
1915-04-30,2.0408163265306145
1915-05-31,2.020202020202011
1915-06-30,2.020202020202011
1915-07-31,1.0000000000000009
1915-08-31,-0.9803921568627416
1915-09-30,-0.9803921568627416
1915-10-31,0.990099009900991
1915-11-30,0.9803921568627638
1915-12-31,1.980198019801982
1916-01-31,2.970297029702973
1916-02-29,4.0000000000000036
1916-03-31,6.060606060606055
1916-04-30,6.000000000000005
1916-05-31,5.940594059405946
1916-06-30,6.930693069306937
1916-07-31,6.930693069306937
1916-08-31,7.920792079207928
1916-09-30,9.90099009900991
1916-10-31,10.784313725490202
1916-11-30,11.650485436893199
1916-12-31,12.621359223300965
1917-01-31,12.5
1917-02-28,15.384615384615374
1917-03-31,14.28571428571428
1917-04-30,18.867924528301884
1917-05-31,19.62616822429908
1917-06-30,20.370370370370374
1917-07-31,18.518518518518512
1917-08-31,19.266055045871553
1917-09-30,19.81981981981984
1917-10-31,19.469026548672552
1917-11-30,17.391304347826097
1917-12-31,18.10344827586208
1918-01-31,19.658119658119656
1918-02-28,17.500000000000004
1918-03-31,16.666666666666675
1918-04-30,12.698412698412698
1918-05-31,13.28125
1918-06-30,13.076923076923075
1918-07-31,17.96875
1918-08-31,18.461538461538463
1918-09-30,18.045112781954884
1918-10-31,18.518518518518512
1918-11-30,20.740740740740748
1918-12-31,20.43795620437956
1919-01-31,17.85714285714286
1919-02-28,14.893617021276583
1919-03-31,17.142857142857125
1919-04-30,17.6056338028169
1919-05-31,16.551724137931025
1919-06-30,14.965986394557817
1919-07-31,15.231788079470189
1919-08-31,14.935064935064934
1919-09-30,13.375796178343968
1919-10-31,13.125000000000009
1919-11-30,13.496932515337413
1919-12-31,14.545454545454529
1920-01-31,16.96969696969697
1920-02-29,20.370370370370374
1920-03-31,20.12195121951219
1920-04-30,21.556886227544926
1920-05-31,21.89349112426038
1920-06-30,23.66863905325445
1920-07-31,19.54022988505748
1920-08-31,14.689265536723163
1920-09-30,12.35955056179774
1920-10-31,9.944751381215443
1920-11-30,7.027027027027022
1920-12-31,2.645502645502651
1921-01-31,-1.5544041450777257
1921-02-28,-5.641025641025643
1921-03-31,-7.106598984771562
1921-04-30,-10.837438423645319
1921-05-31,-14.077669902912627
1921-06-30,-15.78947368421051
1921-07-31,-14.903846153846157
1921-08-31,-12.807881773399021
1921-09-30,-12.5
1921-10-31,-12.060301507537686
1921-11-30,-12.121212121212132
1921-12-31,-10.824742268041232
1922-01-31,-11.05263157894738
1922-02-28,-8.15217391304348
1922-03-31,-8.743169398907114
1922-04-30,-7.734806629834267
1922-05-31,-5.649717514124298
1922-06-30,-5.113636363636376
1922-07-31,-5.0847457627118615
1922-08-31,-6.214689265536711
1922-09-30,-5.142857142857138
1922-10-31,-4.571428571428571
1922-11-30,-3.44827586206895
1922-12-31,-2.3121387283237094
1923-01-31,-0.5917159763313529
1923-02-28,-0.5917159763313529
1923-03-31,0.5988023952095967
1923-04-30,1.197604790419149
1923-05-31,1.197604790419149
1923-06-30,1.7964071856287456
1923-07-31,2.3809523809523725
1923-08-31,3.0120481927710774
1923-09-30,3.6144578313252795
1923-10-31,3.592814371257491
1923-11-30,2.9761904761904656
1923-12-31,2.366863905325456
1924-01-31,2.9761904761904656
1924-02-29,2.3809523809523725
1924-03-31,1.7857142857142794
1924-04-30,0.591715976331364
1924-05-31,0.591715976331364
1924-06-30,0.0
1924-07-31,-0.5813953488371992
1924-08-31,-0.5847953216374324
1924-09-30,-0.5813953488371992
1924-10-31,-0.5780346820809301
1924-11-30,-0.5780346820809301
1924-12-31,0.0
1925-01-31,0.0
1925-02-28,0.0
1925-03-31,1.1695906432748426
1925-04-30,1.17647058823529
1925-05-31,1.764705882352935
1925-06-30,2.941176470588225
1925-07-31,3.50877192982455
1925-08-31,4.117647058823515
1925-09-30,3.50877192982455
1925-10-31,2.9069767441860517
1925-11-30,4.651162790697683
1925-12-31,3.4682080924855363
1926-01-31,3.4682080924855363
1926-02-28,4.06976744186045
